t_index                term    df
534                      9    69
535                 prepar   128
536                   told   277
537                  decid   103
538                beneath    31
539               casualti    22
540                   home   316
541                epicent    31
542                 higher    41
543                 republ    65
544                  parad    21
545                  agenc   117
546                   bodi   188
547                   help   313
548                  calam     5
549               concentr    20
550                     90    24
551                 indian    49
552                  tamil     1
553                    top   167
554                   armi   136
555                 gather    88
556                  women   106
557                 effort   185
558                   find   214
559                  india    68
560                kashmir     2
561                 sadden     9
562                   show   187
563                  trust    26
564               northern    59
565                  medic    92
566                  rumbl     8
567                  prime   117
568                  troop    67
569                   dead   164
570                   took   216
571                collaps    86
572                    day   456
573                  chill    13
574                 outsid   175
575                 assist    76
576                 imposs    37
577                 extent    27
578                  madra     4
579                  staff    67
580                 number   145
581                  simpl    19
582                shortli    47
583                    put   185
584                   1950    12
585                   roof    25
586                 bhagat     1
587                gujarat    39
588                percent    97
589                  apart    68
590                 advani     1
591                 option    39
592                pauciti     1
593                  rubbl    62
594                 pervez     4
595             heartbreak     2
596                centuri    24
597                   part   240
598                 confus    22
599                   town   114
600                confirm   117
601                   cite    38
602                magistr     3
603                  south   123
604                   much   251
605                  nepal     8
606                   lamp     2
607                    hit   114
608                 minist   171
609                   road    61
610                    150    33
611              ahmedabad    20
612                   loss    62
613                  ruler    39
614                  earth    29
615                    war   191
616                   nadu     1
617                 center   140
618              strongest    10
619                      1   152
620                    247     1
621                 repeat    27
622                  damag   154
623                 chines    10
624              islamabad     4
625                   full    77
626              musharraf     4
627                  dozen   112
628               magnitud    40
629                    end   268
630                  recov   130
631                   toll    78
632                 behari     3
633                     40    87
634                 doctor    51
635                 messag    44
636                   rise    58
637             aftershock    43
638                  wrote    41
639                   half   108
640                bulldoz    25
641                 affect    29
642                 bottom    27
643                 celebr    83
644                    air   170
645                  panic    15
646               pakistan    30
647                 aerial     3
648                  adopt    17
649                hardest    16
650              subcontin     3
651                    lal     1
652             parliament    58
653                  death   210
654                     go   367
655                  began   156
656                      u   423
657                 impact    33
658                karachi     3
659                  chair    17
660                blanket    35
661                      3   116
662                  occas    19
663                 bonfir     3
664                    650     2
665                  heavi    56
666                 hospit    88
667                 annual    18
668                   trim    12
669                holiday    26
670                  shade     2
671                   send    70
672               frighten    21
673                  await    26
674                 tremor    23
675              afterward    13
676                   east   127
677                   tent    39
678                airlift     4
679                  delhi    17
680                 repres    70
681               district    38
682               high-ris     7
683                western   116
684                contest    44
685                    aid   158
686                   bhuj    33
687           seismologist     7
688               telephon    72
689                   fell    66
690                  injur   159
691                   foot    43
692                  build   169
693                  pride    13
694                halfway     4
695                concern   105
696                   game    57
697             wrong-foot     1
698                 finish    57
699                histori    95
700               footwork     1
701                   sock     3
702                  drain     8
703                  total    75
704                  color    13
705             friendship     6
706                  speed    31
707                 elimin    32
708                prevail    21
709                   soon    94
710                   trip    83
711                 behind   155
712                   wide    67
713                   1928     5
714                   less    93
715                   left   245
716                 reward    38
717                  chanc    99
718                   hair    15
719                   fail   115
720              16th-seed     1
721               suddenli    17
722                 situat    82
723                   loft     2
724                    5-2     5
725                  right   200
726                   made   293
727                sanguin     1
728                   walk    67
729               although    83
730                   serv   187
731                partner    41
732                    yet   165
733                 reason   100
734                   earn    22
735                   tire    29
736                  endur    18
737                 volley    15
738                   push    66
739                  paper    24
740                    box    17
741                    ace    27
742                 famili   213
743               overzeal     2
744                   11th     8
745               comeback    17
746              resurrect     2
747                borotra     1
748          counter-punch     1
749                   head   204
750                   nerv     5
751                    fit    27
752                   ball    29
753                   exit    25
754                  punch    12
755                 differ   107
756             kafelnikov    29
757                   wind    24
758                  alway    93
759                 winner    85
760                  ninth    20
761                   like   347
762                  weari    14
763                quickli    76
764                     20   145
765                 fourth    53
766                   spin     4
767                  smack     4
768                prolong     8
769                 desper    39
770               unfathom     2
771              four-hour     3
772                patienc     5
773                 appear   196
774               champion    55
775                 tactic    15
776                  trick    13
777                  energ     3
778                 evapor     3
779                  pluck     3
780                   long   214
781                 togeth   101
782                  fizzl     1
783                 visibl    37
784            23-year-old     9
785                   10th    13
786          5-foot-8-inch     1
787                  tight    22
788                  blast   109
789                 mistak    32
790                 captiv     6
791                convert     5
792                  fling     1
793                    cue     1
794                  crack    32
795                  start   160
796                    dig    49
797                 fellow    38
798                    6-2    46
799                  posit   111
800                    2-6    18
801                 corner    34
802                retract    14
803                  brush     5
804                   feel   118
805               forehand    15
806                semifin    30
807                   dine     8
808                 within   102
809                  upset    40
810               backward     3
811                 slowli    26
812                   play   131
813                  manag    88
814                  shirt    12
815                  glanc     5
816                   pois     6
817               distract     8
818                  chase    22
819                 realli   105
820                   beat    79
821                    big    76
822                  shake    28
823                   titl    50
824              15th-seed     1
825                gloriou     2
826                    5-7    11
827            crestfallen     1
828                biggest    39
829                 confid    60
830                 fairli    16
831                 commit    89
832                  round    98
833                    ear     7
834                  flair     2
835                  match    68
836                  cover    66
837                scamper     1
838                176-174     1
839                    way   301
840                 second   162
841                      8   108
842                   prod     2
843                   snap     9
844               advantag    21
845                  cours    62
846                   seat    64
847               two-week     2
848                  smile    36
849                  gobbl     1
850                   jean    50
851                favorit    14
852                      2   126
853                    cap    19
854                   slay    12
855                   take   340
856                yevgeni    27
857                   pass    82
858            groundstrok    12
859                baselin    16
860             death-defi     1
861                   save    67
862                 defend   121
863                  wield     7
864             fifth-seed     2
865                quarter    26
866                 dinner    10
867                   barg     3
868                    rip    47
869                     71     1
870        two-sets-to-non     1
871                   dare    15
872                 miracl    10
873                    net    81
874                   wild    20
875         panic-stricken     1
876                deficit    11
877                    7-6    30
878                   look   219
879                scrambl    16
880                  break   104
881                   whip     5
882                   even   311
883                   tall     8
884                    7-5    29
885                    rod    25
886                  arena    22
887              three-gam     1
888                 method    15
889                 reveal    34
890                letdown     1
891                  timid     2
892                   shot    76
893                everyth    77
894                   pull   126
895                    far   178
896                     12   168
897             australian    72
898                    3-5     1
899                 player    53
900                     70    24
901                    fan    10
902                   went   159
903                     ye    25
904                   eras    11
905                 joyrid     1
906                  ahead    53
907               tiebreak    10
908                    onc   127
909                  fault    20
910                  error    47
911                      4    61
912                  reach   167
913                  strip    24
914                   doom     9
915                   rain    26
916                   mean    99
917                   lose    79
918                   shoe    15
919                   fist     7
920                  fifth    34
921                     78     6
922                 unforc    12
923            22-year-old    11
924              difficult    84
925                aggress    24
926                  tough    32
927               opportun    30
928                  earli   180
929                  short    92
930                  third   124
931                  think   227
932                  natur    48
933                 deflat     1
934                  40-30     1
935                  laver    11
936              flip-flop     4
937               elsewher    55
938                 desert    31
939                teacher    16
940                 school    54
941              loudspeak     9
942                   mile   129
943                temblor    13
944             bangladesh     5
945                  resid    99
946               verandah     2
947              allahabad     2
948                   rush    56
949                hallway     3
950              dignitari     5
951                   name   162
952                     50    81
953               satkhira     3
954                   kill   431
955                 colleg    34
956                doorway     2
957                  appar   193
958                 panick     8
959            three-stori     6
960                   held   163
961                  haren    13
962                    651     2
963                  flood    36
964                 bombay     5
965                  polic   212
966                  uttar     4
967                persuad    27
968                    rel    75
969            post-mortem     2
970                announc   164
971                 overal     6
972                 vineet     2
973                 riotou     1
974             three-hour     4
975                factori    20
976               calcutta     3
977                  hindu     8
978                patient    19
979                   dure   281
980                 scream    15
981                    653     1
982               bleacher     1
983                  field    49
984                  gupta     2
985                     31    19
986                 religi    27
987               commemor     7
988                 record    83
989                  least   209
990                stamped     4
991                pradesh     4
992                  arriv   180
993                diamond     3
994               industri    28
995                 pandya    14
996                student    53
997                  climb    22
998                 rajesh     3
999                disrupt     9
1000                   200    65
1001              skyscrap     4
1002               develop    97
1003               provinc    30
1004                  51st     2
1005                 corps    13
1006                besieg     4
1007                narrow    28
1008                 refug     7
1009                  1819     1
1010          southeastern    10
1011                ground   104
1012                 crowd   104
1013                   100    81
1014             baijubahi     2
1015                  wife   124
1016               mahajan     2
1017                  quak    89
1018                believ   292
1019                  caus   132
1020              stairwel     4
1021                  away   166
1022                  wail     9
1023                textil     4
1024                member   195
1025                  fire   124
1026                  onto    50
1027                 wound   100
1028                 world   244
1029                nineti     1
1030                 debri    47
1031                pramod     1
1032                 plant    19
1033               display    29
1034                bihari    10
1035          220-megawatt     2
1036              overflow     4
1037                 bleed     2
1038                 whole    68
1039                  trap    69
1040              southern    67
1041                  june    41
1042                     n    72
1043               cabinet    31
1044                  pile    24
1045           pondicherri     2
1046                    19    66
1047                    16    66
1048                injuri    63
1049                  bhat     1
1050              psychosi     1
1051                  rock    72
1052                 north    78
1053                 surat     3
1054               nuclear    48
1055                 local   100
1056               soldier    97
1057                enough   136
1058                 insid   124
1059              structur    19
1060                   lot   132
1061                  need   210
1062                    --   109
1063                nearli   115
1064                 stori    79
1065                 angri    27
1066               furious     6
1067                  turn   179
1068                  grow    61
1069                pictur    34
1070               describ    80
1071                    51    24
1072          northwestern     3
1073                satind     3
1074             afternoon    59
1075                  fast    22
1076                bindra     3
1077                  lift    81
1078                  slab    15
1079                  okay     8
1080                  site    80
1081                geolog    11
1082                resort    24
1083             hyderabad     3
1084             southeast    35
1085                   180     1
1086                  marc    23
1087             most-want     7
1088            california    32
1089              survivor    92
1090                massiv    65
1091                  bone    52
1092                 alert    62
1093                anytim     4
1094                  mill     4
1095                 minut    92
1096           headlinenew     2
1097                 check    40
1098                  food    59
1099                  texa    95
1100             spokesman   184
1101                  meal     6
1102                lawmak    41
1103             quarantin     1
1104                 click     2
1105                search   143
1106                  feed    14
1107                 crisi    54
1108                   mad     4
1109                   cow     7
1110                health    72
1111                violat    31
1112                 cattl     2
1113                   fed    15
1114                    15    84
1115                 solut    14
1116               whether   201
1117                energi    29
1118                diseas     9
1119                   fda     1
1120                design    34
1121                   com    35
1122                 stage    49
1123                  form    94
1124               unlimit     2
1125      ultranationalist     3
1126                 littl   160
1127                 crime    78
1128              extradit    33
1129                   led   118
1130                 spend    57
1131              grandson    13
1132                 radic    24
1133                grubac     2
1134                  abil    32
1135            legislatur    19
1136                  plan   247
1137                retain    17
1138             substanti    17
1139                    13   107
1140                 newli    34
1141             iron-fist    14
1142              orchestr     4
1143               overcom    13
1144               without   141
1145                 milan    10
1146               sabotag     6
1147                  aliv    84
1148             milutinov     9
1149                  post    69
1150         neo-communist     7
1151               disgrac    12
1152                  role    59
1153                 proxi     4
1154             indonesia     9
1155                   ebb     5
1156               council    43
1157                    tv    59
1158                    46    22
1159                specul    44
1160              autocrat    27
1161         authoritarian    27
1162               conceiv     9
1163              thursday   219
1164                vulner    35
1165                intend    49
1166            underworld     3
1167                prefer    17
1168                  fate    32
1169               analyst    38
1170                 loyal    16
1171                 korac     4
1172                 drove    22
1173                crimin   105
1174                residu     8
1175                 feder   138
1176            netherland    15
1177             contribut    47
1178                  beef     6
1179                strong    92
1180                  stab     9
1181                 creat    48
1182              assassin    21
1183                  chao    36
1184                ballot    72
1185                 ultim    31
1186                   178     2
1187                rather    63
1188                 sweep    21
1189                arrest   109
1190              reintegr     5
1191                  verg     7
1192                 level    94
1193                 spate     3
1194                 block    83
1195                defeat   143
1196             congratul    29
1197               leftist    20
1198         pro-democraci    12
1199              djindjic    17
1200                tribun    30
1201                 depos     7
1202                coalit    34
1203                  stun    40
1204                  stay   148
1205              consolid    13
1206                shaken    11
1207               prosper    30
1208                  hagu    33
1209              signific    41
1210               elector    80
1211                though   135
1212                 media    68
1213                 tenur     9
1214                 domin    38
1215            troublesom     2
1216              demonstr    88
1217                legaci    12
1218               sidelin    11
1219            montenegro    23
1220                 pledg    68
1221                conced    49
1222              prosecut    33
1223                 zoran    20
1224                 storm    46
1225             mouthpiec     3
1226                 marko    11
1227                  gain    73
1228                troubl    64
1229               smaller    25
1230               possibl   236
1231                 europ    50
1232                 zarko     6
1233               violent    32
1234                  risk    57
1235               convinc    27
1236                especi    74
1237                senior   126
1238                direct    75
1239                 chile     8
1240                 braca     2
1241            propaganda    19
1242               control   170
1243                 activ    89
1244                occupi    16
1245                 spell     9
1246                   old    78
1247               suspend    25
1248                 clout     4
1249                associ   117
1250                 croni    18
1251                  alli    86
1252                 futur    88
1253            000-strong     2
1254                statur     4
1255            acknowledg    55
1256               closest    32
1257          unswervingli     2
1258               present    61
1259               serbian    72
1260                 howev   124
1261             socialist    36
1262                  hide    53
1263               hardwar     1
1264               headlin    25
1265                 sport    59
1266              melbourn    28
1267                matter    76
1268                 anyon    58
1269                imagin    28
1270                serena    31
1271                  yeah    13
1272                   cnn    49
1273                 jerom     3
1274                 hingi    40
1275                   els    34
1276                 never   143
1277               martina    40
1278            jurenovich     3
1279             northwest    17
1280                suffer    95
1281                potter     1
1282                fallen    27
1283                   bbc    29
1284                    ya     1
1285                effici     4
1286                 often    62
1287                 choic    41
1288                 sleep    36
1289                common    36
1290                   ned     1
1291             ahmadabad     2
1292                 place   216
1293                 becom   115
1294                  fill    60
1295                mostli    45
1296                  york    90
1297                travel    71
1298            four-stori     5
1299                    tl     1
1300                  race   101
1301                 newer     1
1302                   ipd     1
1303                  zone    28
1304                 becam   104
1305                 unusu    29
1306               seismic     3
1307               terrifi     9
1308                 siren     1
1309                    30   126
1310                  mike    22
1311                  harm     8
1312                 fulli    37
1313          increasingli    30
1314                vibrat     1
1315                  2000    28
1316               rescuer    49
1317               clearli    56
1318                 older     9
1319                 known   142
1320               richter     7
1321                   abc    49
1322                 prone     3
1323               attempt   112
1324                 scale    19
1325                 escap    85
1326                 split    23
1327                disast    76
1328                   dri    16
1329            correspond    26
1330               terribl    28
1331          terrifyingli     1
1332              woolridg     1
1333                follow   216
1334                   ron    20
1335                    45    35
1336                killer    21
1337                danger   103
1338               pipelin     6
1339                  babi    14
1340                 popul    48
1341               calamit     1
1342                histor    30
1343               citizen    73
1344                    41     9
1345               everyon    57
1346                relief    64
1347               seventh    30
1348                flight    49
1349                 carri   182
1350                london    26
1351                invest    34
1352                 allen    22
1353                  slow    38
1354               alreadi   164
1355             overwhelm    27
1356                 offer   128
1357               heavili    31
1358                  miss   151
1359                  port   171
1360              american   341
1361                   ton    37
1362                 phone    61
1363              destruct    27
